Year,DIST,SECT,PROJ,LL,RTE,LETTER,RTE1,T1,T2,T3,T4,TERMINI,BEGIN,END,LMILE,CL,DEPTH,COMP,CONT,ML1,ML2,REMARKS,CANCELLED,LastUpdated
2014,1,11,0171-0369,A,5,,N/B,EAST HARTFORD,,,,END OVLP RT 15 TO SR 517 (MAIN ST) SP-3,34.32,34.91,0.43,1,2.00,,,,,,FALSE,5/30/2014 11:38
2014,1,11,0171-0369,H,159,,N+S,WINDSOR,,,,CAPEN ST TO RT 75 (POQUONOCK AVE) SP-2,3.19,3.76,1.14,1,2.00,,JSL,6/10/2014,,PREP PLANNED,FALSE,5/30/2014 12:42
2014,1,11,0171-0369,K,31,,E+W,COVENTRY,,,,TOLLAND TL TO W JCTUS 44; SP-2,3.71,5.80,2.09,1,2.00,,,,,,FALSE,5/30/2014 12:59
2014,1,11,0171-0369,L,533,,N+S,VERNON,,,,LAKE ST TO RT 30; SP-2,2.15,4.03,1.88,1,2.00,1.88,TILCON,5/20/2014,5/28/2014,HANDWORK REMAINS,FALSE,5/30/2014 12:47
2014,1,11,0171-0369,M,384,,E+W,BOLTON,,,,.01 MI W/O RT 85 TO EB-US 6 EB & US 44 EB; SP-3,7.65,8.53,1.75,1,2.00,,GALASSO,6/4/2014,,PREP IN PROGRESS,FALSE,5/30/2014 12:47
2014,1,11,0171-0369,M1,6,,E+W,BOLTON,,,,DR TO BOSTON TPKE SHOP CTR TO .17 MI W/O DR TO ICE RINK,76.29,77.26,1.36,1,2.00,,GALASSO,6/4/2014,,PREP IN PROGRESS,FALSE,5/30/2014 12:48
2014,1,11,0171-0369,M2,44,,E+W,BOLTON,,,,END OVLP US 6 TO .03 MI W/O QUARRY RD; SP-2,66.26,66.50,0.35,1,2.00,,GALASSO,6/4/2014,,PREP IN PROGRESS,FALSE,5/30/2014 12:53
2014,1,11,0171-0384,A,5,,N+S,EAST WINDSOR,,,,EXIT FR SB I-91 TO ENFIELD TL; SP-3,46.73,48.14,1.82,1,2.00,,JSL,7/8/2014,,PREP IN PROGRESS,FALSE,5/30/2014 12:54
2014,1,11,0171-0384,A1,5,,N+S,ENFIELD,,,,EAST WINDSOR TL TO POST OFFICE RD; SP-3,48.14,50.76,3.37,1,2.00,,GALASSO,7/8/2014,,PREP IN PROGRESS,FALSE,5/30/2014 12:55
2014,1,11,0171-0384,C,5,,N+S,EAST HARTFORD,,,,SR 517 (MAIN ST) TO ACC TO WB I-84; SP-3,34.91,35.41,1.23,1,2.00,,GALASSO,7/20/2014,,PREP IN PROGRESS,FALSE,5/30/2014 12:55
2014,1,11,0171-0384,C1,517,,N+S,EAST HARTFORD,,,,SR 516 EB (WILLOW ST EXT) TO RT 5 NB; SP-2,0.80,1.24,1.10,1,2.00,,GALASSO,7/20/2014,,PREP IN PROGRESS,FALSE,5/30/2014 12:56
2014,1,11,0171-0384,D,31,,E+W,VERNON,TOLLAND,,,RT 30 (HTFD TPKE) TO COVENTRY TL; SP-2,0.79,3.71,3.11,1,2.00,,,,,PREP IN PROGRESS,FALSE,5/30/2014 12:57
2014,1,11,0171-0384,E,32,,N+S,MANSFIELD,,,,RT 44 (MIDDLE TPKE) TO WILLINGTON TL; SP-2,37.50,39.87,2.43,1,2.00,,ALL STATES,5/28/2014,,PAVE IN PROGRESS,FALSE,5/30/2014 13:00
2014,1,11,0171-0384,F,32,,N+S,STAFFORD,,,,RT 190 (W STAFFORD RD) TO MASS SL; SP-2,49.88,54.88,5.00,1,2.00,,PALMER,7/21/2014,,PREP IN PROGRESS,FALSE,5/30/2014 13:13
2014,1,11,0171-0384,G,83,,N+S,MANCHESTER,VERNON,,,BGN OVLP RT 30 TO END OVLP RT 30; SP-2,10.14,11.64,3.38,1,2.00,,,,,,FALSE,5/30/2014 13:18
2014,1,11,0171-0384,H,140,,E+W,ELLINGTON,,,,RT 83 (SOMERS RD) TO TOLLAND TL; SP-2,13.70,14.96,1.26,1,2.00,1.26,GALASSO,5/27/2014,5/29/2014,HANDWORK REMAINS,FALSE,5/30/2014 13:19
