IIT_NE_ID,Type,Asset ID,Source ID,Surface Material,Length (m),Width (m),Date of Construction,Owner,Current Maintenance Contract,Currently Maintained By,Departure - DAS ID,Overall Condition Rating (Manual),Risk Rating,Inspection Type 1 Interval,Date Last Inspected (Type 1),Inspection Type 2 Interval,Date Last Inspected (Type 2),Inspection Type 3 Interval,Date Last Inspected (Type 3),Inspection Type 4 Interval,Date Last Inspected (Type 4),Inspection Type 5 Interval,Date Last Inspected (Type 5),Inspection Type 6 Interval,Date Last Inspected (Type 6),Inspection Type 7 Interval,Date Last Inspected (Type 7),Inspection Type 8 Interval,Date Last Inspected (Type 8),Inspection Type 9 Interval,Date Last Inspected (Type 9),Inspection Type 10 Interval,Date Last Inspected (Type 10),Last Maintained Date,Additional Asset Information,section_key,asset_key,xsp_code,section_label,start_chainage,end_chainage,start_date
1481363,,,4715377,Bitmac,,1.8,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L3,1000A38/141,315,601,17-Mar-03,,
1481359,,,5805311,Rolled Asphalt,,1,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3200A5/309,63,183,29-Jul-03,,
1481360,,,5805312,Bitmac,,2,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3200A5/309,183,218,29-Jul-03,,
1481361,,,5805313,Bitmac,,6.6,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3200A5/309,218,220,29-Jul-03,,
1481362,,,5805732,Bitmac,,2.1,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,502,,,,,,,,,,,,,,,,,,,,,,L2,3200A5/286,92,175,29-Jul-03,,
1481350,,,8561920,Rolled Asphalt,,1.6,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3400A449/330,0,79,7-Nov-05,,
1481340,,,8565711,Rolled Asphalt,,1.5,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3400A449/430,1.082,27.059,8-Nov-05,,
1481339,,,8565712,Rolled Asphalt,,1.5,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L3,3400A449/430,27.059,31.388,8-Nov-05,,
1481342,,,8565713,Rolled Asphalt,,2.2,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L1,3400A449/430,31.388,53.035,8-Nov-05,,
1481341,,,8565714,Rolled Asphalt,,2.2,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3400A449/430,53.035,90.918,8-Nov-05,,
1481343,,,8565763,Rolled Asphalt,,1.7,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3400A449/422,0,66,8-Nov-05,,
1481338,,,8565939,Rolled Asphalt,,1.4,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3400A449/438,1151,1383,8-Nov-05,,
1481344,,,9077115,Rolled Asphalt,,1.6,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L2,3400A449/338,1,60,22-Dec-05,,
1481345,,,9078096,Rolled Asphalt,,1.7,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L3,3400A449/334,46,79,22-Dec-05,,
1481346,,,9078097,Rolled Asphalt,,1.7,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,501,,,,,,,,,,,,,,,,,,,,,,L3,3400A449/334,138,142,22-Dec-05,,
1481348,,,9086463,Rolled Asphalt,,1.7,01-JAN-1000,11,ASC Area 9,EM HIGHWAYS,,,,502,,,,,,,,,,,,,,,,,,,,,,L2,3400A449/326,60,67,15-Feb-06,,
