YEAR_RECORD|STATE_CODE|ROUTE_ID|BEGIN_POINT|END_POINT|SECTION_LENGTH|SAMPLE_ID
2010|41|27000I00|64.73|65.56|.83|1027006473
2010|41|27000I00|66.34|67.22|.88|1027006634
2010|41|27200I00|.31|.41|.1|1027200031
2010|41|27200I00|37.1|37.58|.48|1027203710
2010|41|30000I00|-1.97|-.5|1.47|01003000X197
2010|41|33300I00|5.57|6.05|.48|1033300557
2010|41|34100I00|2.23|6.19|3.96|1034100223
2010|41|36000I00|.09|1|.91|1036000000
2010|41|41000I00|.5|2.71|2.21|1041000076
2010|41|45600I00|2.16|3.16|1|1045600216
2010|41|45600I00|22.19|30.92|8.73|1045602779
2010|41|45600I00|98.22|99.22|1|1045609822
2010|41|00100I00|30.49|31.3|.81|000I00503049
2010|41|00100I00|80.83|80.96|.13|000I00508083
2010|41|00100I00|86.14|87.36|1.22|000I00508614
2010|41|00100I00|103.95|106.71|2.76|000I00510395
2010|41|00100I00|121.18|121.69|.51|000I00512118
2010|41|00100I00|121.69|122.31|.62|000I00512169
2010|41|00100I00|123.92|124.14|.22|000I00512392
2010|41|00100I00|125.24|126.52|1.28|000I00512524
2010|41|00100I00|129.08|129.32|.24|000I00512907
2010|41|00100I00|142.18|144.65|2.47|000I00514218
2010|41|00100I00|148.42|150.32|1.9|000I00514842
2010|41|00100I00|161.71|162.14|.43|000I00516171
2010|41|00100I00|163.49|164.28|.79|000I00516349
2010|41|00100I00|168.01|168.46|.45|000I00516801
2010|41|00100I00|174.73|175.4|.67|000I00517473
2010|41|00100I00|188.95|189.07|.12|000I00518895
2010|41|00100I00|192.27|192.52|.25|000I00519227
2010|41|00100I00|234.76|235.13|.37|000I00523476
2010|41|00100I00|237.67|238.61|.94|000I00523767
2010|41|00100I00|241.44|241.61|.17|000I00524144
2010|41|00100I00|244.68|248.32|3.64|000I00524468
2010|41|00100I00|281.33|281.75|.42|000I00528133
2010|41|00100I00|287.42|288.51|1.09|000I00528742
2010|41|00100I00|291.27|292.2|.93|000I00529127
2010|41|00100I00|294.48|295.04|.56|000I00529421
2010|41|00100I00|304.5|304.74|.24|000I00530450
2010|41|00100I00|307.97|308.38|.41|000I00530798
2010|41|00200I00|2.55|3.56|1.01|1000200255
2010|41|00200I00|3.85|4.12|.27|1000200385
2010|41|00200I00|6.73|7.1|.37|1000200673
2010|41|00200I00|14.05|14.42|.37|000I08401405
2010|41|00200I00|14.42|15.97|1.55|000I08401514
2010|41|00200I00|22.1|24.99|2.89|000I08402210
2010|41|00200I00|24.99|27.86|2.87|000I08402499
2010|41|00200I00|36.22|36.44|.22|000I08403622
2010|41|00200I00|40.27|40.83|.56|000I08404027
2010|41|00200I00|42.09|43.42|1.33|000I08403359
2010|41|00200I00|45.64|46.1|.46|000I08403696
2010|41|00200I00|56.04|59.15|3.11|000I08405604
2010|41|00200I00|69.84|71|1.16|000I08406984
2010|41|00200I00|80.72|81.39|.67|000I08407204
2010|41|00200I00|87.01|87.79|.78|000I08408701
2010|41|00200I00|110.46|110.97|.51|000I08411046
2010|41|00200I00|125.5|128.76|3.26|000I08412550
2010|41|00400I00|9.46|12.17|2.71|1000400946
2010|41|00400I00|16.02|20.25|4.23|1000401602
2010|41|00400I00|74.26|74.83|.57|1000407426
2010|41|00400I00|278.03|278.38|.35|1000427713
2010|41|00500I00|8.94|15.41|6.47|1000500894
2010|41|00500I00|45.29|49.14|3.85|1000504532
2010|41|00500I00|69.07|72|2.93|1000506907
2010|41|00500I00|78.56|80.9|2.34|1000507864
2010|41|00500I00|108.14|114.12|5.98|1000510564
2010|41|00500I00|144.5|148.24|3.74|1000514400
2010|41|00500I00|274.96|277.88|2.92|500000275510
2010|41|00600I00|213.32|213.71|.39|000I08421332
2010|41|00600I00|213.71|216.04|2.33|000I08420503
2010|41|00600I00|239.21|243.82|4.61|000I08423053
2010|41|00600I00|259.42|261.88|2.46|000I08425074
2010|41|00600I00|285.68|286.2|.52|000I08428568
