ITEM_ID,ITEM_TYPE,ITEM_NAME,UPDATE_SQL,UNINSTALL,,,,
1,TABLE,OHMS_7_NETWORK_MV,1,1,,,,
2,INDEX,OHMS_7_NETWORK_MV_IDX,,1,,,,
3,TABLE,OHMS_7_NETWORK_MV2,1,1,,,,
4,INDEX,OHMS_7_NETWORK_MV2_IDX,,1,,,,
5,TABLE,V_NM_URBN502_OUTER_MV_NT,1,1,,,,
6,INDEX,V_NM_URBN502_OUTER_MV_NT_IDX,,1,,,,
7,TABLE,V_NM_NBI504_OUTER_MV_NW,1,1,,,,
8,INDEX,V_NM_NBI504_OUTER_MV_NW_IDX,,1,,,,
9,TABLE,V_NM_TUNL504_OUTER_MV_NW,1,1,,,,
10,INDEX,V_NM_TUNL504_OUTER_MV_NW_IDX,,1,,,,
11,TABLE,OHMS_TMP_7_507_RDGM,1,1,,,,
12,INDEX,OHMS_TMP_7_507_RDGM_IDX,,1,,,,
13,TABLE,OHMS_TMP__7_507_RTE_ITEM_HWY,1,1,,,,
14,INDEX,OHMS_TMP__7_507_RTE_ITEM_IDX,,1,,,,
15,TABLE,OHMS_TMP_RTE_7_507_RDGM,1,1,,,,
16,INDEX,OHMS_TMP_RTE_7_507_RDGM_IDX,,1,,,,
17,TABLE,OHMS_TMP_SEG_7_507_RDGM,1,1,,,,
18,INDEX,OHMS_TMP_SEG_7_507_RDGM_IDX,,1,,,,
19,TABLE,OHMS_TMP_DETAIL_7_507_RDGM,1,1,,,,
20,TABLE,V_NM_RDGM507_COUNT_MV_NW,1,1,,,,
21,INDEX,V_NM_RDGM507_COUNT_MV_NW_IDX,,1,,,,
22,TABLE,OHMS_TMP_7_508_RDGM,1,1,,,,
23,INDEX,OHMS_TMP_7_508_RDGM_IDX,,1,,,,
24,TABLE,OHMS_TMP_7_508_RTE_ITEM_HWY,1,1,,,,
25,INDEX,OHMS_TMP_7_508_RTE_ITEM_IDX,,1,,,,
26,TABLE,OHMS_TMP_RTE_7_508_RDGM,1,1,,,,
27,INDEX,OHMS_TMP_RTE_7_508_RDGM_IDX,,1,,,,
28,TABLE,OHMS_TMP_SEG_7_508_RDGM,1,1,,,,
29,INDEX,OHMS_TMP_SEG_7_508_RDGM_IDX,,1,,,,
30,TABLE,OHMS_TMP_DETAIL_7_508_RDGM,1,1,,,,
31,TABLE,V_NM_RDGM508_MIN_MV_NW,1,1,,,,
32,INDEX,V_NM_RDGM508_MIN_MV_NW_IDX,,1,,,,
33,TABLE,OHMS_TMP_7_509_RDGM,1,1,,,,
34,INDEX,OHMS_TMP_7_509_RDGM_IDX,,1,,,,
35,TABLE,OHMS_TMP_7_509_RTE_ITEM_HWY,1,1,,,,
36,INDEX,OHMS_TMP_7_509_RTE_ITEM_IDX,,1,,,,
37,TABLE,OHMS_TMP_RTE_7_509_RDGM,1,1,,,,
38,INDEX,OHMS_TMP_RTE_7_509_RDGM_IDX,,1,,,,
39,TABLE,OHMS_TMP_SEG_7_509_RDGM,1,1,,,,
40,INDEX,OHMS_TMP_SEG_7_509_RDGM_IDX,,1,,,,
41,TABLE,OHMS_TMP_DETAIL_7_509_RDGM,1,1,,,,
42,TABLE,V_NM_RDGM509_COUNT_MV_NW,1,1,,,,
43,INDEX,V_NM_RDGM509_COUNT_MV_NW_IDX,,1,,,,
44,TABLE,V_NM_URBN510_OUTER_MV_NT,1,1,,,,
45,INDEX,V_NM_URBN510_OUTER_MV_NT_IDX,,1,,,,
46,TABLE,V_NM_SPZN514_OUTER_MV_NW,1,1,,,,
47,INDEX,V_NM_SPZN514_OUTER_MV_NW_IDX,,1,,,,
48,TABLE,V_NM_URBN514_OUTER_MV_NT,1,1,,,,
49,INDEX,V_NM_URBN514_OUTER_MV_NT_IDX ,,1,,,,
50,TABLE,OHMS_TMP_7_538_RDGM,1,1,,,,
51,INDEX,OHMS_TMP_7_538_RDGM_IDX,,1,,,,
52,TABLE,OHMS_TMP_7_538_RTE_ITEM_HWY,1,1,,,,
53,INDEX,OHMS_TMP_7_538_RTE_ITEM_IDX,,1,,,,
54,TABLE,OHMS_TMP_RTE_7_538_RDGM,1,1,,,,
55,INDEX,OHMS_TMP_RTE_7_538_RDGM_IDX,,1,,,,
56,TABLE,OHMS_TMP_SEG_7_538_RDGM,1,1,,,,
57,INDEX,OHMS_TMP_SEG_7_538_RDGM_IDX,,1,,,,
58,TABLE,OHMS_TMP_DETAIL_7_538_RDGM,1,1,,,,
59,TABLE,V_NM_RDGM538_SUM_MV_NW,1,1,,,,
60,INDEX,V_NM_RDGM538_SUM_MV_NW_IDX,,1,,,,
61,TABLE,OHMS_TMP_7_539_RDGM,1,1,,,,
62,INDEX,OHMS_TMP_7_539_RDGM_IDX,,1,,,,
63,TABLE,OHMS_TMP_7_539_RTE_ITEM_HWY,1,1,,,,
64,INDEX,OHMS_TMP_7_539_RTE_ITEM_IDX,,1,,,,
65,TABLE,OHMS_TMP_RTE_7_539_RDGM,1,1,,,,
