IIT_INV_TYPE|IIT_ADMIN_UNIT|IIT_START_DATE|GRAPH_ID|GRAPH_PATH|GRAPH_NM|GRAPH_DESC
SNGR|S|24-MAR-2015|1|NONE|NONE|NONE
SNGR|S|24-MAR-2015|2|C:\USR\R2SIGN\SYM\CD-1.PNG|CD-1|EVACUATION ROUTE
SNGR|S|24-MAR-2015|3|C:\USR\R2SIGN\SYM\CD-2.PNG|CD-2|AREA CLOSED
SNGR|S|24-MAR-2015|4|C:\USR\R2SIGN\SYM\CD-3.PNG|CD-3|STOP TRAFFIC REGULATION POST
SNGR|S|24-MAR-2015|5|C:\USR\R2SIGN\SYM\CD-4.PNG|CD-4|MAINTAIN TOP SAFE SPEED
SNGR|S|24-MAR-2015|6|C:\USR\R2SIGN\SYM\CD-5.PNG|CD-5|ROAD USE PERMIT REQUIRED
SNGR|S|24-MAR-2015|7|C:\USR\R2SIGN\SYM\CD-6.PNG|CD-6|DECONTAMINATION CENTER
SNGR|S|24-MAR-2015|8|C:\USR\R2SIGN\SYM\CD-7.PNG|CD-7|FALLOUT SHELTER
SNGR|S|24-MAR-2015|9|C:\USR\R2SIGN\SYM\D1-1.PNG|D1-1|DESTINATION/ARROW
SNGR|S|24-MAR-2015|10|C:\USR\R2SIGN\SYM\D1-1A.PNG|D1-1A|DESTINATION/ARROW/DISTANCE
SNGR|S|24-MAR-2015|11|C:\USR\R2SIGN\SYM\D1-1BL.PNG|D1-1BL|BIKE ROUTE DESTINATION/ARROW/DISTANCE
SNGR|S|24-MAR-2015|12|C:\USR\R2SIGN\SYM\D1-1BR.PNG|D1-1BR|BIKE ROUTE DESTINATION/ARROW/DISTANCE
SNGR|S|24-MAR-2015|13|C:\USR\R2SIGN\SYM\D1-1C.PNG|D1-1C|BIKE ROUTE STREET NAME
SNGR|S|24-MAR-2015|14|C:\USR\R2SIGN\SYM\D1-2.PNG|D1-2|DOUBLE DESTINATION/ARROW
SNGR|S|24-MAR-2015|15|C:\USR\R2SIGN\SYM\D1-2A.PNG|D1-2A|DOUBLE DESTINATION/ARROW/DISTANCE
SNGR|S|24-MAR-2015|16|C:\USR\R2SIGN\SYM\D1-3.PNG|D1-3|TRIPLE DESTINATION/ARROW
SNGR|S|24-MAR-2015|17|C:\USR\R2SIGN\SYM\D1-3A.PNG|D1-3A|TRIPLE DESTINATION/ARROW/DISTANCE
SNGR|S|24-MAR-2015|18|C:\USR\R2SIGN\SYM\D10-1.PNG|D10-1|CONVENTIONAL MILEPOST MARKER
SNGR|S|24-MAR-2015|19|C:\USR\R2SIGN\SYM\D10-2.PNG|D10-2|CONVENTIONAL MILEPOST MARKER
SNGR|S|24-MAR-2015|20|C:\USR\R2SIGN\SYM\D10-3.PNG|D10-3|CONVENTIONAL MILEPOST MARKER
SNGR|S|24-MAR-2015|21|C:\USR\R2SIGN\SYM\D10-4.PNG|D10-4|EXPRESSWAY MILEPOST MARKER
